id;nom;statut;references;condition;effet;limite;plafond;compatibilite;contrepartie;manifestation;boss_isole
SYN_011;Vitrification;CO;"[""E_KATON"", ""SURF_SABLE"", ""STA_18""]";Une attaque Katon touche une surface SABLE.;La cellule devient verre 4 s : les ennemis qui la traversent sont Entaillés.;1 conversion par cellule / 4 s.;3 cumuls d'Entaillé.;"Tout porteur de Katon sur une surface SABLE (sable naturel de MAP_017, ou sable créé par les techniques de sable) ; aucune entrée ne possède à la fois le sable et le Katon.";Le sable vitrifié ne ralentit plus.;Cellule brillante à reflets, fissures blanches.;Boss : +1 Entaillé par seconde passée sur le verre.
SYN_012;Sable et contrôle;CO;"[""E_SABLE"", ""CONTROLE"", ""STA_06""]";Une attaque de sable touche une cible déjà sous un contrôle (Lié, Entravé, Étourdi, Gelé).;"+2 cumuls d'Ensablé ; si la cible atteint Enseveli, la durée du contrôle en cours est prolongée de 0,5 s.";1 fois / 1 s par cible.;Prolongation max 0,5 s par contrôle.;Gaara + toute source de contrôle.;—;Sable qui s'enroule autour des jambes, anneau granuleux.;Boss : +10 points de résistance de contrôle en moins pour le prochain contrôle (au lieu de +20).
SYN_013;Attraction métallique;CO;"[""E_JITON"", ""STA_22"", ""OUTIL""]";Un projectile OUTIL du joueur vole à ≤ 3 m d'un ennemi Aimanté.;Le projectile s'incurve vers lui et gagne +1 perce.;1 fois par projectile.;—;Jiton + outils (Sasori Troisième Kazekage, Rasa).;Le projectile peut se détourner d'une cible plus menaçante.;Ligne de champ pointillée entre projectile et cible.;Tous les projectiles OUTIL visent le boss Aimanté (+10 % dégâts).
SYN_014;Racines humides;CO;"[""E_MOKUTON"", ""SURF_EAU"", ""STA_19""]";Une technique Mokuton émerge sur une surface EAU.;"Durée des structures de bois +50 % ; Entravé +0,5 s.";Une fois par structure.;—;Hashirama, Yamato (Mokuton + Suiton).;L'eau est absorbée (cellule consommée).;Bois plus sombre, feuilles luisantes.;Inchangé (+0,5 s Entravé soumis à résistance).
SYN_015;Ombre et immobilisation;CO;"[""JUT_282"", ""STA_07"", ""STA_19"", ""STA_11""]";Une technique d'ombre Nara est active et un ennemi immobilisé (Entravé, Étourdi, Gelé, Enseveli) se trouve à ≤ 3 m de la surface OMBRE.;L'ombre se propage gratuitement vers lui : Lié par l'ombre 1 s.;3 propagations / 2 s.;—;Shikamaru (toutes variantes).;—;Ruban d'ombre qui file au sol en 3 frames.;Boss immobilisé : Lié converti en Vulnérable +10 %.
SYN_016;Pièges dans l'ombre;CO;"[""SURF_OMBRE"", ""PIEGE""]";Un piège du joueur est posé sur une surface OMBRE.;Le piège devient invisible aux ennemis poseurs/contrôleurs (ils ne l'évitent pas) et inflige +20 %.;—;Plafond d'instances du piège inchangé.;Shikamaru (toutes variantes) : ombre + pièges LIBRE/APT_FUIN.;Le piège reste visible pour le joueur (contour allié).;Piège à demi fondu dans l'ombre, contour pointillé allié.;Piège sous le boss : +20 % conservé.
SYN_017;Refroidissement de lave;CO;"[""SURF_LAVE"", ""E_SUITON""]";Une attaque Suiton touche une surface LAVE.;"La cellule devient croûte d'obsidienne 3 s : obstacle bas coupant (8 × A à la traversée) ; Vapeur 1 s.";1 conversion par cellule / 3 s.;—;Mei Terumī (Yōton + Suiton).;Perte de la lave (Corrosion).;Surface noire brillante, fissures qui refroidissent du rouge au gris.;Boss : obsidienne sous lui = Entaillé +1/s.
SYN_018;Sceaux et pièges;CO;"[""PIEGE"", ""STA_09""]";Un piège du joueur est posé ou déclenché à ≤ 2 m d'une cible Marquée.;Le piège s'arme instantanément et touche 2 fois (second impact à 60 %).;1 fois par piège.;—;Pièges + marques (Minato, Tobirama, Shikamaru, Konan, Karin, Kushina…).;—;Sceau du piège qui s'illumine de la couleur de la marque.;Pièges posés sous le boss Marqué : double impact garanti.
SYN_019;Réaction d'argile en chaîne;CO;"[""EXPLOSIF"", ""STA_15""]";Une explosion du joueur touche une cible portant une Charge d'argile.;La charge détone immédiatement (dégâts de la technique d'origine à 80 %).;Profondeur 2 (une charge qui détone peut en déclencher une autre, pas une troisième).;12 détonations en chaîne par tick.;Deidara (toutes variantes).;Les charges n'attendent pas leur délai (moins de dégâts de zone planifiée).;Chapelet d'explosions à 0,05 s d'écart, son groupé croissant.;Charges multiples sur le boss : détonation simultanée à 80 %.
SYN_020;Fil conducteur;CO;"[""JUT_192"", ""E_RAITON"", ""STA_04""]";Une attaque Raiton touche un fil d'acier du joueur (JUT_192, JUT_016, JUT_209).;Le fil devient électrifié 2 s : 10 × A par tick de 0,5 s aux ennemis qui le touchent + Électrisé.;1 fois / 2 s par fil.;—;Raiton + fils (Kakashi, Sasuke, Kakashi ANBU…).;—;Le fil blanc devient bleu, arcs courts le long.;Fil tendu près du boss : 1 contact / 1 s.
SYN_021;Poison et marionnettes;CO;"[""MARIONNETTE"", ""STA_08""]";Une MARIONNETTE frappe une cible Empoisonnée.;+1 cumul de Poison et +20 % dégâts de la frappe.;Aucune au-delà des intervalles de frappe.;"Cumul de Poison selon plafond (10 ; 15 avec Sasori).";Kankurō, Sasori, Chiyo.;—;Lame de la marionnette qui goutte en violet.;Pleinement actif (le poison ignore la résistance).
SYN_022;Nuée protectrice;CO;"[""JUT_292"", ""JUT_291""]";Mushi Kame (JUT_292) absorbe un projectile pendant que Kikaichū (JUT_291) est actif.;L'essaim gagne +10 % de dégâts pendant 3 s (cumulable 3 fois).;1 cumul par projectile absorbé.;+30 %.;Shino.;—;Insectes de la coque qui rejoignent la nuée (trajectoires visibles).;Actif contre les projectiles du boss (non télégraphés).
SYN_023;Papier porté par le vent;CO;"[""APT_PAPIER"", ""E_FUTON""]";Une attaque Fūton du joueur traverse des shuriken de papier du joueur (JUT_247, TRF_023).;Les shuriken gagnent +1 perce et +30 % de portée.;1 fois par shuriken.;—;Konan (papier + Fūton).;—;Feuilles couchées dans l'axe du vent, traînée blanche.;Les feuilles déviées visent le boss (+10 %).
SYN_024;Encre et lame;CO;"[""STA_21"", ""APT_KENJ""]";Une technique CONTACT de famille OUTIL touche une cible Encrée.;"+25 % dégâts ; l'encre éclabousse et Encre 1 voisin.";Éclaboussure 1 fois / 1 s par cible.;—;Sai (encre + tantō).;—;Coup de pinceau noir qui prolonge l'arc de lame.;+25 % conservé sur boss Encré.
SYN_025;Nuée toxique;CO;"[""E_FUTON"", ""STA_08""]";Une attaque Fūton CONE ou ONDE touche une cible à ≥ 5 cumuls de Poison.;Le poison se propage : +2 cumuls aux ennemis dans la zone de l'attaque.;1 fois / 1 s par cible source.;—;Sasori (Fūton), Kankurō (Fūton).;—;Traînées violettes portées par les lignes de vent.;Boss : +1 cumul à lui-même (pas de propagation).
SYN_026;Brume conductrice;CO;"[""JUT_028"", ""E_RAITON""]";Une attaque Raiton est lancée alors qu'une brume du joueur (JUT_028, EVO_012) est active.;Un éclair secondaire frappe un ennemi aléatoire dans la brume (40 % de la base).;1 fois / 0,8 s.;—;Kakashi, Tobirama, Darui (Zabuza, sans Raiton, ne la déclenche pas).;—;Éclair qui illumine la brume de l'intérieur (brume plus claire 2 frames).;L'éclair frappe le boss s'il est dans la brume.
SYN_027;Lave et brume acide;CO;"[""SURF_LAVE"", ""JUT_157"", ""STA_17""]";Un ennemi Corrodé se tient sur une surface LAVE pendant qu'une brume Futton est active.;La Corrosion devient profonde : −25 points de résistance (au lieu de 15) et +15 % dégâts Yōton.;—;Résistance minimale 0.;Mei Terumī.;—;Fumée jaune-verte qui s'élève de la lave.;Pleinement utile contre un boss résistant.
SYN_028;Évaporation brutale;CO;"[""E_SHAKUTON"", ""STA_03"", ""STA_23""]";Une attaque Shakuton touche une cible Trempée.;Consomme Trempé : dégâts ×1,5 sur ce coup et nuage de Vapeur (r 1,5 m).;1 fois / 0,5 s par cible.;—;Pakura (cibles Trempées par la pluie de MAP_012, la crue de MAP_006 ou les surfaces EAU).;Interaction négative intentionnelle avec Conduction (SYN_001) : l'état est consommé. Affiché sur les cartes des deux côtés.;Sifflement et vapeur blanche, cible qui pâlit.;Inchangé.
SYN_029;Bois embrasé;CO;"[""SURF_BOIS"", ""E_KATON""]";Une attaque Katon du joueur touche une structure ou une surface BOIS du joueur.;"Grand embrasement : 30 × A / 0,5 s pendant 3 s sur la structure ; la structure est détruite.";1 fois par structure.;—;Madara Rinnegan, Obito (Mokuton + Katon).;Interaction négative intentionnelle : perte de la protection du bois (affichée « Brûle le bois »).;Flammes hautes sur le bois, craquements.;Bois autour du boss : dégâts de feu continus.
SYN_030;Blizzard;CO;"[""E_HYOTON"", ""E_FUTON"", ""STA_05""]";Une attaque Fūton CONE ou ONDE traverse un cercle de miroirs ou une zone Hyōton.;Refroidi +1 à tous les ennemis touchés par l'attaque Fūton.;1 fois / 1 s.;—;Haku (Hyōton + Fūton).;—;Flocons entraînés dans les lignes de vent.;Refroidi sur boss plafonné à −30 %.
SYN_031;Plaies brûlantes;CO;"[""STA_01"", ""STA_18""]";Une cible est à la fois Brûlée et Entaillée.;Les dégâts d'Entaillé par mètre sont +50 %.;—;—;Katon + lames/vent (Asuma, Madara, Minato…).;—;Entailles à liseré orange.;Utile : les boss se déplacent beaucoup.
SYN_032;Surcharge;CO;"[""STA_11"", ""E_RAITON""]";Une attaque Raiton touche une cible Étourdie.;+25 % dégâts sur ce coup.;—;—;Raiton + étourdissements (Kakashi, A, Darui, Sasuke…).;—;Arc supplémentaire en spirale sur la cible.;Actif pendant les courtes fenêtres d'étourdissement.
SYN_033;Aiguilles de givre;CO;"[""JUT_190"", ""STA_05""]";Un Senbon (JUT_190 ou EVO issue) touche une cible Refroidie.;+1 cumul de Refroidi et +10 % de chance critique sur ce coup.;1 cumul / 0,5 s par cible.;Gelé 1 s max, immunité 2 s.;Haku (Senbon LIBRE + Hyōton).;—;Givre qui se propage depuis le point d'impact de l'aiguille.;"Critique +10 % conservé ; ralentissement plafonné."
SYN_034;Coup de grâce de l'ombre;CO;"[""STA_07"", ""CONTACT""]";Une attaque CONTACT touche une cible Liée par l'ombre.;+30 % dégâts.;—;—;Shikamaru héritier d'Asuma (Hien).;—;Ombre qui se resserre au moment de l'impact.;Pendant la liaison (réduite par résistance).
SYN_035;Point aveugle;CO;"[""STA_16""]";Le joueur touche une cible Aveuglée.;+15 % chance critique sur ce coup.;—;Chance critique totale ≤ 60 %.;Tous.;—;Petit œil barré au-dessus de la cible, critique marqué d'un éclat blanc.;Utile pendant l'aveuglement du boss.
SYN_036;Discorde;CO;"[""STA_10""]";Un ennemi Confus inflige des dégâts à un autre ennemi.;Ces dégâts donnent du chakra au joueur comme s'il les avait infligés et les éliminations lui sont attribuées (technique source).;Plafond de gain de chakra global.;—;Genjutsu, Yamanaka.;—;Petits éclats violets sur les coups entre ennemis.;"Inactif (aucun ennemi pour se battre) ; la conversion Confus → Vulnérable prend le relais."
SYN_037;Marque de mort;CO;"[""STA_09"", ""STA_12""]";Une cible est Marquée et Vulnérable d'au moins +20 %.;+0,3 aux dégâts critiques contre elle.;—;Dégâts critiques ≤ ×3,0.;Sceaux + genjutsu ou Byakugan.;—;La marque devient rouge et pulse.;Très utile contre un boss.
SYN_038;Combustion toxique;CO;"[""STA_08"", ""E_KATON""]";Une attaque Katon touche une cible à ≥ 8 cumuls de Poison.;Le poison s'enflamme : 4 × (cumuls) × A en zone de 1,5 m, puis les cumuls sont réduits de moitié.;1 fois / 2 s par cible.;—;Sasori (Katon), Kakuzu (Katon + via masques), Orochimaru (poison + pas Katon → inactive).;Réduit le poison.;Flammes vertes-orangées, bulles qui éclatent.;Détonation sur le boss, poison réduit.
SYN_039;Éclosion;CO;"[""STA_14""]";Un ennemi Parasité à ≥ 5 cumuls meurt.;Les insectes s'échappent : Parasité +2 aux ennemis à 2 m.;Profondeur 2.;10 éclosions / s.;Shino.;—;Nuée qui jaillit du corps (décorative), ronflement groupé.;"Inactif ; le Parasité reste utile par ses dégâts."
SYN_040;Explosion corrosive;CO;"[""STA_17"", ""EXPLOSIF""]";Une explosion touche une cible Corrodée.;+20 % dégâts.;—;—;"Mei (Yōton) + explosifs ; Katsuyu (acide) + explosifs.";—;Explosion à bord jaune-vert.;Pleinement utile.
SYN_041;Attaque coordonnée;CO;"[""CLONE"", ""STA_09""]";Le joueur touche une cible Marquée ou la cible prioritaire désignée par une technique de clones (JUT_217 niv. 7, EVO_069).;"Tous les clones actifs à ≤ 6 m changent de cible pour elle pendant 2 s ; leur prochaine frappe fait +40 %.";"1 fois / 3 s par propriétaire ; les clones ne copient pas l'attaque déclenchante.";+40 % sur 1 frappe par clone.;"Toute entrée possédant une technique CLONE ; source contenant explicitement le tag CLONE (exception de la règle §B8.2-5).";Les clones abandonnent leur cible précédente (peut laisser passer un ordinaire).;Un seul petit triangle bleu au-dessus de la cible + un trait fin de chaque clone vers elle (pas de flash).;Pleinement utile : les clones convergent sur le boss.
SYN_042;Clones et fumée;CO;"[""CLONE"", ""STA_16""]";Un clone du joueur disparaît (fin de durée ou détruit).;Son nuage de fumée Aveugle les ennemis à 1 m pendant 1 s.;1 fois par clone.;8 nuages / s.;Toute technique CLONE.;—;Nuage de fumée standard légèrement plus dense (1 frame de plus).;Boss aveuglé 0,5 s (résistance normale).
SYN_043;Clones et crapauds;CO;"[""CLONE"", ""CTR_CRAPAUD"", ""JUT_225""]";Des crapauds de combat (JUT_225) et des clones sont actifs simultanément.;"Les crapauds bondissent sur la cible des clones ; leur coup de langue attire la cible de 1 m vers les clones.";1 fois / 1 s par crapaud.;—;Naruto (toutes variantes) et Jiraiya (crapauds + Kage Bunshin). Minato n'a pas de technique CLONE : non concerné.;—;Crapaud qui saute sur l'épaule d'un clone avant l'attaque.;"Pas d'attraction (boss) ; les crapauds concentrent leurs coups."
SYN_044;Meute;CO;"[""ANIMAL""]";Au moins 2 unités ANIMAL actives.;Chaque ANIMAL gagne +10 % de dégâts par autre ANIMAL actif.;—;+30 %.;Kiba, Kakashi, Pain Six Chemins, Sai…;—;Petites pattes lumineuses au sol sous chaque animal quand la meute est active.;Pleinement utile.
SYN_045;Marionnettes gardiennes;CO;"[""MARIONNETTE"", ""JUT_208""]";Un ennemi est contrôlé par Chakra no Ito (JUT_208) pendant qu'une marionnette est active.;La marionnette protège l'ennemi contrôlé (elle intercepte 1 projectile ennemi qui le vise) et frappe ses agresseurs.;1 interception / 1 s.;—;Kankurō, Kankurō Marionnette de Sasori, Sasori, Chiyo.;La marionnette quitte le joueur pendant l'interception.;Fils bleus reliant marionnette et ennemi contrôlé.;"Inactive (aucun contrôle sur boss) ; aucune perte."
SYN_046;Contrat scellé;CO;"[""UNITE_ALLIEE"", ""SCEAU""]";Une unité alliée apparaît alors que le joueur possède au moins une technique SCEAU.;Son apparition libère une onde de 1,5 m (15 × A).;1 fois / 1 s.;—;Minato, Tobirama, Kushina, Karin, Jiraiya, Konan…;—;Cercle de sceau au sol sous l'invocation.;Onde sur le boss si proche.
SYN_047;Réanimés piégés;CO;"[""JUT_243"", ""SCEAU""]";Un réanimé (Edo Tensei) arrive en fin de durée et le joueur possède une technique SCEAU.;Il explose en étiquettes : 50 × A (r 2,5 m).;1 fois par réanimé.;—;Orochimaru et Tobirama (Edo Tensei + APT_FUIN). Les deux Kabuto n'ont pas de SCEAU : non concernés.;—;Étiquettes qui recouvrent le corps avant l'explosion.;Explosion près du boss.
SYN_048;Substitution par clone;CO;"[""PAS_039"", ""CLONE""]";Kawarimi (PAS_039) se déclenche alors qu'une technique CLONE est possédée.;À la place de la bûche, un clone apparaît et provoque les ennemis à 3 m pendant 2 s.;Délai de Kawarimi.;—;Toute entrée avec CLONE.;—;Fumée, clone en pose de défi.;Le boss cible le clone 1 s.
SYN_049;Encre de sceau;CO;"[""STA_21"", ""STA_09""]";Une cible devient Encrée.;Elle compte comme Marquée pour les techniques et synergies du joueur tant qu'elle est Encrée.;—;—;Sai.;—;Taches d'encre en forme de sceau.;Boss Encré = Marqué.
SYN_050;Ruche;CO;"[""STA_14""]";Au moins 10 ennemis Parasités à l'écran.;Les essaims du joueur gagnent +20 % de dégâts et +20 % de vitesse.;—;—;Shino.;—;Icône de ruche discrète sur l'essaim, bourdonnement plus aigu.;"Inactive ; l'essaim reste au niveau de base."
SYN_051;Kunai de marquage universel;CO;"[""OUTIL"", ""JUT_265""]";Un projectile OUTIL du joueur (kunai, shuriken) se plante au sol et Hiraishin (JUT_265) est possédé.;Il compte comme kunai de marquage 3 s (dans la limite des kunai actifs).;Kunai actifs max de JUT_265.;—;Minato, Tobirama.;Remplace le kunai le plus ancien.;Formule jaune qui s'imprime sur le kunai planté.;Kunai autour du boss : réseau dense.
SYN_052;Kunai et étiquettes;CO;"[""OUTIL"", ""JUT_189""]";Le joueur possède Kibaku Fuda (JUT_189) et une technique OUTIL PROJECTILE ou SALVE.;1 projectile OUTIL sur 5 porte une étiquette : explosion 20 × A (r 1,5 m) à l'impact.;Compteur déterministe (1 sur 5).;—;Tous.;—;Kunai à ruban blanc, grésillement.;Pleinement utile.
SYN_053;Jonglage;CO;"[""CONTACT"", ""JUT_182""]";Un ennemi est projeté en l'air (Courant ascendant, Konoha Daisenpū, Colonne de feu…).;Les techniques CONTACT du joueur font +20 % contre lui.;—;—;Lee, Guy, Sasuke (Shishi Rendan), Temari (Courant ascendant)…;—;Ombre au sol de la cible soulevée et lignes de vitesse.;"Inactive (boss non soulevés) ; conversion en Vulnérable."
SYN_054;Élan des Portes;CO;"[""TRF_009"", ""CONTACT""]";Les Portes sont ouvertes (TRF_009).;Chaque élimination au CONTACT prolonge l'effet de 0,2 s.;Prolongation max +3 s par activation.;—;Lee, Lee Poing ivre, Guy.;Prolonge aussi le coût en PV (plancher 1 PV).;Aura verte qui pulse à chaque élimination.;Pas d'élimination → pas de prolongation.
SYN_055;Lame conductrice;CO;"[""OUTIL"", ""CONTACT"", ""JUT_051""]";Chidori Nagashi (JUT_051) est possédé et une technique CONTACT de famille OUTIL touche.;La frappe Électrise et gagne +15 % dégâts.;Électrisé : délai interne par cible.;—;"Sasuke et Sasuke Mangekyō éternel avec Kusanagi ou Tantō ; pour Sasuke Taka, l'Électrisé est déjà fourni par son CPX (seul le +15 % s'ajoute).";—;Lame parcourue d'arcs.;Pleinement utile.
SYN_056;Lame de vent;CO;"[""OUTIL"", ""CONTACT"", ""E_FUTON""]";Le joueur possède au moins 2 techniques Fūton et touche avec une technique CONTACT de famille OUTIL.;+0,8 m d'allonge et Entaillé +1.;—;Entaillé max 3 (4 avec PAS_024 niv. 5).;Asuma et Shikamaru héritier (Hien), Temari (Frappe du grand éventail).;—;Lame prolongée d'un fil de vent translucide.;Pleinement utile.
SYN_057;Courant porteur;CO;"[""E_FUTON"", ""OUTIL""]";Une attaque Fūton ONDE ou CONE chevauche un projectile OUTIL du joueur.;Le projectile gagne +1 perce et +25 % de vitesse.;1 fois par projectile.;—;Temari, Asuma, Minato, Konohamaru…;—;Traînée blanche sur le projectile.;Pleinement utile.
SYN_058;Impact sismique;CO;"[""CONTACT"", ""E_DOTON""]";Une attaque CONTACT de ≥ 40 dégâts touche un ennemi à ≤ 2 m d'une structure ou surface de terre du joueur.;Un pic jaillit sous la cible : 25 × A, Étourdi 0,3 s.;1 fois / 1 s.;—;Sakura, Tsunade, Chōji, Ōnoki…;—;Pic anguleux, poussière.;Pic sur le boss (sans étourdissement).
SYN_059;Riposte blindée;CO;"[""BOUCLIER"", ""CONTACT""]";Un bouclier du joueur absorbe un coup.;La prochaine technique CONTACT fait +30 %.;1 charge (non cumulable).;—;Gaara (Suna no Tate), Hinata, Neji, Kimimaro…;—;Contour du joueur qui scintille en or 1 s.;Pleinement utile.
SYN_060;Élan;CO;"[""CONTACT""]";Le joueur vient d'esquiver (moins de 1 s).;La prochaine technique CONTACT fait +25 % et gagne +0,5 m d'allonge.;1 fois par esquive.;—;Tous.;—;Image rémanente du joueur qui rejoint la frappe.;Pleinement utile.
SYN_061;Illusion du Sharingan;CO;"[""DOJ_SHARINGAN"", ""GENJUTSU""]";Le joueur a le Sharingan et lance une technique GENJUTSU.;Durée des contrôles de genjutsu +20 %.;—;—;Itachi (toutes variantes) et Shisui (Sharingan + APT_GEN).;—;Tomoe discret dans le motif du genjutsu.;Conversion Vulnérable +6 % au lieu de +5 %.
SYN_062;Points fermés;CO;"[""JUT_296"", ""STA_09""]";Jūken touche une cible Marquée (Byakugan ou autre).;La fermeture des points de chakra ajoute Vulnérable +10 % pendant 3 s.;1 fois / 3 s par cible.;Vulnérable global +50 %.;Neji, Hinata.;—;Points bleus qui se ferment en croix.;Pleinement utile.
SYN_063;Attraction dans le piège;CO;"[""ATTRACTION"", ""PIEGE"", ""ZONE""]";Un ennemi attiré par une technique ATTRACTION du joueur termine son déplacement dans une ZONE ou un PIEGE du joueur.;"Le piège se déclenche immédiatement ; la zone applique un tick instantané.";1 fois / 1 s par zone.;—;Pain (Bansho), Suiton (Tourbillon), Jiton (Noyau)…;—;Flash de la zone à l'arrivée.;Inactive (boss non attirés).
SYN_064;Flèches de flammes noires;CO;"[""TRF_006"", ""STA_01""]";Susanoo de Sasuke (TRF_006) est actif et une flèche touche une cible déjà en Brûlure noire.;+1 cumul de Brûlure noire et propagation à 1 voisin.;—;6 cumuls.;Sasuke Mangekyō éternel.;—;Pointe de flèche noire à liseré rouge.;Pleinement utile.
SYN_065;Retour du Kamui;CO;"[""JUT_311""]";L'intangibilité de Kamui (JUT_311) laisse traverser un projectile ennemi.;Le projectile est renvoyé 1 s plus tard depuis le joueur vers l'ennemi le plus proche (×1,5).;1 projectile par phase.;—;Obito.;—;Spirale qui recrache le projectile en couleur alliée.;Renvoi vers le boss.
