id;nom;type;prioritaire;identite;depart;stats;cpx;faiblesse;signature;aptitudes;ultime;transformations;deblocage;orientations;base
CHR_013;Gaara — Kazekage;VARIANTE;;Artillerie de sable aérienne : il frappe de loin, le sable fait le reste.;JUT_133;"{""pv"": 115, ""depl"": 4.3, ""notes"": ""Zone +15 %""}";"{""nom"": ""Œil de sable"", ""effet"": ""Voit à 16 m (indicateurs hors écran) ; les techniques DIFFERE de sable ont −20 % de délai.""}";Aucune transformation : repose sur l'ultime (Maîtrise de l'ultime).;Maîtrise de l'ultime : gain de chakra +30 % et second effet d'ULT_010.;"[""KG_SABLE"", ""ELEM_FUTON""]";ULT_010;[];"{""type"": ""MAITRISE"", ""niveau"": 5, ""ref"": ""MIS_113""}";"[""Averse de sable"", ""Tempête de contrôle""]";CHR_012
CHR_014;Rock Lee;BASE;True;Vitesse et engagement : mêlée continue sans ninjutsu.;JUT_161;"{""pv"": 125, ""depl"": 5.2, ""notes"": ""Pas d'accès aux éléments""}";"{""nom"": ""Fleur de la jeunesse"", ""effet"": ""Chaque ennemi touché au contact dans les 2 dernières secondes donne +3 % de Cadence (max +30 %).""}";Aucun ninjutsu ni genjutsu : les tireurs lointains exigent du déplacement.;"Poids aux chevilles : l'esquive gagne +1 charge ; à la première ouverture de Porte, les poids tombent (+15 % déplacement pour la run).";"[""APT_PORTES""]";ULT_011;"[""TRF_009""]";"{""type"": ""MISSION"", ""ref"": ""MIS_114""}";"[""Tourbillon de contact"", ""Portes et Lotus""]";
CHR_015;Rock Lee — Poing ivre;VARIANTE;;Imprévisible : frappes erratiques automatiques, esquive naturelle.;JUT_170;"{""pv"": 120, ""depl"": 4.8, ""notes"": ""—""}";"{""nom"": ""Ivresse"", ""effet"": ""Les déplacements ont une légère ondulation visuelle ; 1 coup de contact sur 8 est esquivé automatiquement (déterministe, compteur visible).""}";Contrôle imprécis de la zone de frappe.;Le compteur d'ivresse (8 pips) est affiché sous le portrait : aucune esquive cachée.;"[""APT_PORTES""]";ULT_011;"[""TRF_009""]";"{""type"": ""MISSION"", ""ref"": ""MIS_115""}";"[""Ivresse permanente"", ""Portes chaotiques""]";CHR_014
CHR_016;Neji Hyūga;BASE;True;Défense rotative et points vitaux : sanctuaire à 360°.;JUT_297;"{""pv"": 110, ""depl"": 4.5, ""notes"": ""—""}";"{""nom"": ""Byakugan (angle mort réduit)"", ""effet"": ""Voit à 360° : les ennemis derrière le joueur sont ciblés à égalité avec ceux de devant ; Marque automatique (JUT_312 simplifié) sur 1 élite toutes les 8 s.""}";Dégâts de zone lointaine faibles.;Chaque Rotation (JUT_297) prépare le Champ des trigrammes : la prochaine technique CONTACT touche 2 fois.;"[""CLAN_HYUGA"", ""DOJ_BYAKUGAN""]";ULT_012;[];"{""type"": ""MISSION"", ""ref"": ""MIS_116""}";"[""Sanctuaire rotatif"", ""Soixante-quatre paumes et points vitaux""]";
CHR_017;Hinata Hyūga;BASE;True;Protectrice : coups souples qui affaiblissent et protègent.;JUT_296;"{""pv"": 105, ""depl"": 4.5, ""notes"": ""Réduction des dégâts +5 %""}";"{""nom"": ""Détermination"", ""effet"": ""Chaque ennemi affaibli par Jūken à 3 m réduit de 2 % les dégâts subis (max 10 %).""}";Élimination lente des grandes hordes avant 10 min.;Les boucliers qu'elle crée durent 50 % plus longtemps avant dissipation.;"[""CLAN_HYUGA"", ""DOJ_BYAKUGAN""]";ULT_012;[];"{""type"": ""MISSION"", ""ref"": ""MIS_117""}";"[""Affaiblissement de masse"", ""Protection des 64 paumes""]";
CHR_018;Hinata — Poings de lion;VARIANTE;;Agression à allonge : têtes de lion qui drainent le chakra.;JUT_300;"{""pv"": 110, ""depl"": 4.6, ""notes"": ""—""}";"{""nom"": ""Lions jumeaux"", ""effet"": ""Le drain de chakra de JUT_300 est doublé contre les élites ; l'ultime sort 30 % plus souvent.""}";Moins de défense que la version de base.;"Cycle ultime rapide ; chaque ultime rafraîchit les têtes de lion (+20 % dégâts 5 s).";"[""CLAN_HYUGA"", ""DOJ_BYAKUGAN""]";ULT_012;[];"{""type"": ""MAITRISE"", ""niveau"": 4, ""ref"": ""MIS_118""}";"[""Cycle d'ultime"", ""Allonge et drain""]";CHR_017
CHR_019;Shikamaru Nara;BASE;True;Stratège : immobiliser, puis exécuter les cibles liées.;JUT_282;"{""pv"": 100, ""depl"": 4.3, ""notes"": ""—""}";"{""nom"": ""Plan à 200 coups"", ""effet"": ""Chaque montée de niveau montre 1 carte supplémentaire en aperçu (grisée) de la proposition suivante.""}";"Faible dégât direct ; exige de combiner l'ombre avec d'autres sources.";"Les surfaces OMBRE durent 2 s de plus ; les ennemis Liés par l'ombre subissent +15 % de dégâts (Vulnérable).";"[""CLAN_NARA"", ""ELEM_KATON"", ""APT_FUIN""]";ULT_014;[];"{""type"": ""MISSION"", ""ref"": ""MIS_119""}";"[""Exécution des ombres"", ""Pièges et étiquettes""]";
CHR_020;Shikamaru — Héritier d'Asuma;VARIANTE;;Lames de vent et pièges explosifs : venger le maître.;JUT_196;"{""pv"": 105, ""depl"": 4.5, ""notes"": ""—""}";"{""nom"": ""Serment du Roi"", ""effet"": ""Les ennemis Liés par l'ombre prennent +1 Entaillé par coup de lame.""}";Moins de contrôle pur.;Fil d'acier (JUT_192) et étiquettes explosives : +1 instance.;"[""CLAN_NARA"", ""ELEM_FUTON"", ""ELEM_KATON"", ""APT_FUIN""]";ULT_014;[];"{""type"": ""MAITRISE"", ""niveau"": 4, ""ref"": ""MIS_120""}";"[""Lames et ombres"", ""Champ de pièges""]";CHR_019
CHR_021;Shino Aburame;BASE;True;Essaim patient : parasiter, puis multiplier la nuée.;JUT_291;"{""pv"": 105, ""depl"": 4.2, ""notes"": ""—""}";"{""nom"": ""Ruche vivante"", ""effet"": ""Chaque ennemi Parasité qui meurt ajoute 1 insecte à l'essaim (+2 % dégâts de l'essaim, max +60 %).""}";"Démarrage lent ; aucune explosion.";"L'essaim est 1 seule unité logique ; les insectes sont décoratifs (règle §G5).";"[""CLAN_ABURAME""]";ULT_015;[];"{""type"": ""MISSION"", ""ref"": ""MIS_121""}";"[""Nuée croissante"", ""Dômes et contre-attaques""]";
CHR_022;Kiba Inuzuka;BASE;True;Duo mobile : Akamaru et vrilles en X.;JUT_294;"{""pv"": 115, ""depl"": 4.8, ""notes"": ""—""}";"{""nom"": ""Flair"", ""effet"": ""Les élites et coffres hors écran sont signalés ; Akamaru (JUT_230) est offert au niveau 3 si non obtenu.""}";Dépend d'Akamaru pour la couverture arrière.;Gatsūga part d'Akamaru si présent : deux angles d'attaque.;"[""CLAN_INUZUKA""]";ULT_016;[];"{""type"": ""MISSION"", ""ref"": ""MIS_122""}";"[""Vrilles croisées"", ""Meute (compagnons animaux)""]";
CHR_023;Kiba — Garōga;VARIANTE;;Forage lourd et lent : un coup qui creuse la carte.;JUT_295;"{""pv"": 130, ""depl"": 4.5, ""notes"": ""—""}";"{""nom"": ""Loup bicéphale"", ""effet"": ""Après chaque Garōga, Akamaru et le joueur gagnent +20 % Cadence 4 s.""}";Rythme lent entre les gros coups.;Garōga laisse une tranchée (surface) qui ralentit de 20 %.;"[""CLAN_INUZUKA""]";ULT_016;[];"{""type"": ""MAITRISE"", ""niveau"": 5, ""ref"": ""MIS_123""}";"[""Tranchées"", ""Rafales de vrilles""]";CHR_022
CHR_024;Kankurō;BASE;True;Marionnettiste : trois marionnettes spécialisées et poison.;JUT_202;"{""pv"": 100, ""depl"": 4.2, ""notes"": ""Portée des fils +2 m""}";"{""nom"": ""Maître des fils"", ""effet"": ""Les marionnettes ne comptent que pour 1/2 dans le plafond d'unités (arrondi supérieur).""}";"Marionnettes rompues à plus de 9 m ; le joueur doit rester proche.";Combo Kuroari + Karasu : ×2 dégâts sur la cible emprisonnée.;"[""APT_MARIO"", ""ELEM_FUTON""]";ULT_025;[];"{""type"": ""MISSION"", ""ref"": ""MIS_124""}";"[""Trio de marionnettes"", ""Poison et pièges""]";
CHR_025;Kankurō — Marionnette de Sasori;VARIANTE;;Contrôle adverse : fils qui retournent les ennemis.;JUT_208;"{""pv"": 105, ""depl"": 4.3, ""notes"": ""—""}";"{""nom"": ""Marionnette de Sasori"", ""effet"": ""Une marionnette-lanceflammes permanente (non comptée dans les emplacements) crache du feu en cône toutes les 3 s (18).""}";Moins d'unités simultanées.;Les ennemis contrôlés par fils explosent en poison à leur mort.;"[""APT_MARIO"", ""ELEM_FUTON""]";ULT_025;[];"{""type"": ""MAITRISE"", ""niveau"": 5, ""ref"": ""MIS_125""}";"[""Retournement"", ""Poison de Sasori""]";CHR_024
CHR_026;Temari;BASE;True;Contrôle au vent : grandes faux, recul, champ dégagé.;JUT_074;"{""pv"": 100, ""depl"": 4.5, ""notes"": ""Zone +10 %""}";"{""nom"": ""Grand éventail"", ""effet"": ""Les techniques Fūton gagnent +1 m de portée ; Frappe du grand éventail (JUT_211) réduit leurs délais.""}";"Dégâts modérés par coup ; le recul peut disperser ses propres zones (atténué §B8.4).";Toutes les 3 Kamaitachi, Kamatari traverse l'écran gratuitement (si JUT_232 possédé : ×1,5).;"[""ELEM_FUTON"", ""CTR_BELETTE""]";ULT_018;[];"{""type"": ""MISSION"", ""ref"": ""MIS_126""}";"[""Faux de vent"", ""Vent attiseur de feu (avec passifs de synergie)""]";
CHR_027;Jiraiya;BASE;True;Sannin polyvalent : huile, feu, crapauds, cheveux.;JUT_010;"{""pv"": 130, ""depl"": 4.3, ""notes"": ""—""}";"{""nom"": ""Ermite pervers (Gama Sennin)"", ""effet"": ""Les surfaces HUILE créées par le joueur durent 2 s de plus ; +1 Rouleau par run.""}";Pas de transformation dans cette version (Maîtrise de l'ultime).;Maîtrise de l'ultime : Hari Jizō riposte automatiquement à 3 coups de contact.;"[""ELEM_KATON"", ""ELEM_DOTON"", ""ELEM_FUTON"", ""CTR_CRAPAUD"", ""APT_RASEN"", ""APT_FUIN""]";ULT_019;[];"{""type"": ""MISSION"", ""ref"": ""MIS_127""}";"[""Huile et feu"", ""Crapauds et Rasengan""]";
CHR_028;Jiraiya — Mode Ermite;VARIANTE;;Ermite imparfait épaulé par Fukasaku et Shima : combos d'éléments à deux voix.;JUT_242;"{""pv"": 135, ""depl"": 4.1, ""notes"": ""—""}";"{""nom"": ""Mode imparfait"", ""effet"": ""Mode Ermite (TRF_002) dure 30 % de moins mais se recharge 30 % plus vite ; les anciens restent pendant la transformation.""}";Silhouette alourdie (traits de crapaud) : vitesse réduite.;Jet d'huile des anciens + Katon du joueur = embrasement garanti (SYN_003 sans délai interne 1 fois / 5 s).;"[""ELEM_KATON"", ""ELEM_DOTON"", ""ELEM_FUTON"", ""CTR_CRAPAUD"", ""APT_RASEN"", ""APT_FUIN"", ""APT_SENJ"", ""APT_GEN""]";ULT_002;"[""TRF_002""]";"{""type"": ""MAITRISE"", ""niveau"": 5, ""ref"": ""MIS_128""}";"[""Duo des anciens"", ""Chant des crapauds""]";CHR_027
CHR_029;Tsunade;BASE;True;Force sannin et longévité : soigne en frappant, gagne en encaissant.;JUT_174;"{""pv"": 150, ""depl"": 4.2, ""notes"": ""Régénération +0,5/s""}";"{""nom"": ""Hémophobie vaincue"", ""effet"": ""Sous 50 % de PV : dégâts de taijutsu +25 %.""}";"Lente ; peu d'options à distance.";Chaque coup lourd (≥ 40 dégâts) soigne 1 PV (plafond de soin).;"[""ELEM_DOTON"", ""ELEM_RAITON"", ""APT_MED"", ""CTR_LIMACE""]";ULT_007;"[""TRF_012""]";"{""type"": ""MISSION"", ""ref"": ""MIS_129""}";"[""Talon céleste et séismes"", ""Katsuyu et régénération""]";
CHR_030;Orochimaru;BASE;True;Serpents et corps modifié : poison, mues et invocations interdites.;JUT_227;"{""pv"": 110, ""depl"": 4.4, ""notes"": ""—""}";"{""nom"": ""Mue"", ""effet"": ""Une fois par run, un coup fatal est annulé : le joueur mue (1 PV → 40 % PV) et devient invulnérable 1,5 s.""}";Dégâts de départ faibles, puissance tardive.;"Les morsures de serpent appliquent Empoisonné ; les cibles empoisonnées à 5 cumuls attirent les serpents (+1 cible).";"[""ELEM_FUTON"", ""CTR_SERPENT"", ""APT_CORPS"", ""APT_FUIN"", ""APT_KENJ""]";ULT_020;[];"{""type"": ""MISSION"", ""ref"": ""MIS_130""}";"[""Nids de serpents"", ""Sceaux interdits et Edo Tensei""]";
CHR_031;Itachi Uchiha;BASE;True;Illusionniste économe : leurres, corbeaux, frappes rares et décisives.;JUT_223;"{""pv"": 95, ""depl"": 4.6, ""notes"": ""Chance critique +10 %""}";"{""nom"": ""Maladie"", ""effet"": ""PV max −10 %, mais chaque technique Oculaire se recharge 15 % plus vite.""}";"Fragile ; peu de régénération.";Les leurres (clones de corbeaux, Bunshin) provoquent aussi les élites.;"[""ELEM_KATON"", ""ELEM_SUITON"", ""CLAN_UCHIHA"", ""DOJ_SHARINGAN"", ""DOJ_MANGEKYO"", ""CTR_CORBEAU"", ""APT_GEN""]";ULT_021;"[""TRF_007""]";"{""type"": ""MISSION"", ""ref"": ""MIS_131""}";"[""Corbeaux et genjutsu"", ""Amaterasu et Susanoo""]";
CHR_032;Itachi — Réanimé;VARIANTE;;Corps indestructible : il se reconstitue, les flammes noires s'étendent.;JUT_309;"{""pv"": 90, ""depl"": 4.6, ""notes"": ""Aucune régénération ni soin""}";"{""nom"": ""Corps réanimé"", ""effet"": ""Pas de soins ; à la place, toutes les 20 s, les PV perdus depuis 20 s sont rendus à 50 % (reconstitution visible : fissures qui se referment).""}";Les soins et vols de vie ne fonctionnent pas (retirés du pool).;Amaterasu se transmet 1 fois de plus (3 transmissions).;"[""ELEM_KATON"", ""ELEM_SUITON"", ""CLAN_UCHIHA"", ""DOJ_SHARINGAN"", ""DOJ_MANGEKYO"", ""CTR_CORBEAU"", ""APT_GEN""]";ULT_021;"[""TRF_007""]";"{""type"": ""MAITRISE"", ""niveau"": 6, ""ref"": ""MIS_132""}";"[""Brasier noir"", ""Susanoo et épée scellante""]";CHR_031
CHR_033;Kisame Hoshigaki;BASE;True;Réserve de chakra infinie : dévorer le chakra ennemi au contact.;JUT_198;"{""pv"": 140, ""depl"": 4.3, ""notes"": ""Gain de chakra +20 %""}";"{""nom"": ""Bête à queues sans queue"", ""effet"": ""Chaque 100 chakra dépensés rendent 10 % des PV max (dans le plafond de soin).""}";Portée courte hors eau.;Sur une surface EAU : +20 % déplacement et +15 % dégâts Suiton.;"[""ELEM_SUITON"", ""CTR_REQUIN"", ""APT_KENJ""]";ULT_022;"[""TRF_018""]";"{""type"": ""MISSION"", ""ref"": ""MIS_133""}";"[""Drain Samehada"", ""Arène aquatique""]";
CHR_034;Kisame — Maître des requins;VARIANTE;;Invocateur aquatique : inonder la carte, les requins chassent.;JUT_029;"{""pv"": 120, ""depl"": 4.4, ""notes"": ""—""}";"{""nom"": ""Mer intérieure"", ""effet"": ""Les surfaces EAU créées par le joueur durent 3 s de plus et le plafond de requins (JUT_233) passe à 5.""}";Sans eau au sol, beaucoup de techniques sont moyennes.;Maîtrise de l'ultime (pas de transformation) : second effet de Danse des requins.;"[""ELEM_SUITON"", ""CTR_REQUIN""]";ULT_022;[];"{""type"": ""MAITRISE"", ""niveau"": 5, ""ref"": ""MIS_134""}";"[""Inondation et requins"", ""Prisons d'eau""]";CHR_033
CHR_035;Deidara;BASE;True;L'art est une explosion : créatures d'argile et bombes différées.;JUT_147;"{""pv"": 95, ""depl"": 4.5, ""notes"": ""—""}";"{""nom"": ""Katsu !"", ""effet"": ""Toutes les créatures d'argile non explosées à la fin de leur durée explosent quand même (dégâts 50 %).""}";Explosions retardées : faible contre les chargeurs rapides.;Les explosions (tag EXPLOSIF) du joueur détruisent les obstacles destructibles et les projectiles ennemis dans leur zone.;"[""KG_BAKUTON"", ""ELEM_DOTON"", ""ELEM_RAITON""]";ULT_023;[];"{""type"": ""MISSION"", ""ref"": ""MIS_135""}";"[""Tapis de mines C1"", ""Grandes bombes C3""]";
CHR_036;Deidara — Artiste aérien;VARIANTE;;Bombardier au-dessus du champ : dragons et nano-bombes.;JUT_148;"{""pv"": 90, ""depl"": 4.8, ""notes"": ""—""}";"{""nom"": ""Oiseau de monture"", ""effet"": ""Survole les obstacles bas et les surfaces (immunité aux ralentissements de terrain) ; ombre au sol toujours visible.""}";PV très faibles.;Accès exclusif à C4 Karura (JUT_150).;"[""KG_BAKUTON"", ""ELEM_DOTON"", ""ELEM_RAITON""]";ULT_024;[];"{""type"": ""MAITRISE"", ""niveau"": 6, ""ref"": ""MIS_136""}";"[""Escadre de dragons"", ""Nano-bombes""]";CHR_035
CHR_037;Sasori;BASE;True;Poison absolu : marionnettes humaines et aiguilles.;JUT_205;"{""pv"": 100, ""depl"": 4.1, ""notes"": ""—""}";"{""nom"": ""Poison de Sasori"", ""effet"": ""Le Poison cumule jusqu'à 15 et ses dégâts par cumul passent à 2,5/s.""}";"Dégâts directs faibles ; long temps de mise en place.";Les marionnettes ne sont jamais rompues par la distance (fils de 12 m).;"[""APT_MARIO"", ""ELEM_KATON"", ""ELEM_SUITON"", ""ELEM_FUTON""]";ULT_025;[];"{""type"": ""MISSION"", ""ref"": ""MIS_137""}";"[""Poison maximal"", ""Armée de marionnettes""]";
CHR_038;Sasori — Troisième Kazekage;VARIANTE;;Sable de fer magnétique : figer et hérisser le champ de bataille.;JUT_136;"{""pv"": 105, ""depl"": 4.1, ""notes"": ""—""}";"{""nom"": ""Marionnette humaine"", ""effet"": ""Les techniques Jiton appliquent aussi Empoisonné +1.""}";Peu de mobilité.;Les ennemis Aimantés sont attirés vers le noyau le plus proche ET ralentis de 15 %.;"[""APT_MARIO"", ""KG_JITON""]";ULT_025;[];"{""type"": ""MAITRISE"", ""niveau"": 5, ""ref"": ""MIS_138""}";"[""Hérisson de fer"", ""Aimantation et poison""]";CHR_037
