id;nom;statut;famille;livraison;tags;cible;comportement;valeurs;visuel;acces;limites
JUT_011;Sillage de braises;CO;KATON;ZONE;"[""E_KATON"", ""PERSISTANT""]";aucune;Le déplacement du joueur laisse des cellules de braises (1 cellule/0,25 s) qui brûlent 1,5 s.;"4 par tick de 0,5 s ; Brûlure +1 ; largeur 1 m ; actif en permanence";Empreintes incandescentes qui passent du jaune au rouge sombre en 4 frames.;ELEM_KATON;"Max 12 cellules actives ; nul à l'arrêt."
JUT_012;Braises en éventail;CO;KATON;SALVE;"[""E_KATON"", ""TERRAIN""]";plus_dense;Lance 4 braises en cloche qui retombent et créent chacune une petite flaque de feu 2 s.;"Impact 10 ; flaque 3/0,5 s (r 0,8 m) ; délai 2,2 s ; portée 6 m";Braises rondes à arc visible (ombre au sol qui rétrécit), flaques en étoile basse.;ELEM_KATON;Max 8 flaques.
JUT_013;Couronne de flammes;CO;KATON;ORBITE;"[""E_KATON""]";aucune;"3 feux follets orbitent à 2 m ; chaque passage applique Brûlure +1 au lieu de gros dégâts.";"6 par passage ; Brûlure +1 ; rotation 1 tour/1,8 s ; durée 5 s ; délai 7 s";Flammes en goutte inversée, traîne en spirale, alternance de 2 tailles pour éviter l'uniformité.;ELEM_KATON;Intervalle par cible 0,5 s par follet.
JUT_014;Mine de braise;CO;KATON;PIEGE;"[""E_KATON"", ""EXPLOSIF""]";chemin;"Pose une étiquette de feu sur le chemin prévu des ennemis ; explose au contact.";"28 ; rayon 1,8 m ; armement 0,5 s ; durée 12 s ; délai 2,0 s";"Petit sceau orange au sol, clignotement lent ; explosion en colonne courte.";ELEM_KATON;Max 4 mines.
JUT_015;Soufflet ardent;CO;KATON;ONDE;"[""E_KATON""]";aucune;"Anneau de chaleur qui part du joueur jusqu'à 4 m ; repousse légèrement.";"18 ; Brûlure +1 ; recul 0,8 m ; délai 3,0 s";Anneau de 2 px d'épaisseur à ondulation, distorsion de chaleur sur le sol.;ELEM_KATON;1 touche par cible par onde.
JUT_016;Fil incandescent;CO;KATON;ZONE;"[""E_KATON"", ""PERSISTANT""]";plus_dense;"Tend un fil enflammé de 6 m entre deux kunai plantés de part et d'autre de la cible ; brûle ce qui le traverse.";"8 par tick de 0,5 s ; Brûlure +1 ; durée 3 s ; délai 3,5 s";"Deux kunai noirs, ligne de 1 px blanche entourée de flammèches ; claquement au déploiement.";ELEM_KATON;Max 2 fils.
JUT_017;Katon — Hōsenka Tsumabeni (Fleurs de phénix aux griffes rouges);OA;KATON;SALVE;"[""E_KATON"", ""PERCANT""]";plus_proche;4 boules de feu contenant chacune un shuriken : après l'impact du feu, le shuriken poursuit sa course et perce 2 cibles.;"Feu 8 ; shuriken 7 (perce 2) ; délai 1,8 s ; vitesse 11 m/s";"Boules translucides laissant voir une silhouette de shuriken ; le shuriken ressort incandescent.";ELEM_KATON;Les shuriken comptent comme OUTIL pour les synergies.
JUT_018;Katon — Dai Endan (Grande balle de flamme);AV;KATON;PROJECTILE;"[""E_KATON""]";plus_proche;Grosse balle qui, à l'impact, se divise en 4 flammèches en croix.;"Impact 24 ; éclats 4 × 8 ; délai 2,4 s ; vitesse 8 m/s";"Sphère ondulante, division en 4 gouttes orientées ; les éclats laissent une traîne de 2 frames.";ELEM_KATON;Les éclats sont SECONDAIRE.
JUT_019;Colonne de feu;CO;KATON;DIFFERE;"[""E_KATON""]";plus_menacant;Cercle d'avertissement allié sous la cible, puis pilier de feu qui projette les ennemis ordinaires en l'air (0,4 s d'inaction).;"36 ; rayon 1,2 m ; délai d'impact 0,8 s ; délai 3,2 s";Sceau circulaire au sol, jaillissement vertical sur 48 px, ennemis soulevés de 8 px.;ELEM_KATON;Soulèvement sans effet sur les boss (converti en Vulnérable +5 %).
JUT_020;Lanterne ardente;CO;KATON;ZONE;"[""E_KATON"", ""MOBILE""]";aucune;Une lanterne de chakra suit le joueur à 1,5 m derrière lui et irradie une aura brûlante.;"6 par tick de 0,5 s ; rayon 1,8 m ; permanente";"Lanterne en papier stylisée (12×14 px), halo à 2 anneaux pulsés ; reste lisible sur fond sombre grâce à un contour brun.";ELEM_KATON;Pas d'instance supplémentaire via Quantité (augmente le rayon de 10 % à la place).
JUT_021;Salamandre ardente;CO;KATON;CHAINE;"[""E_KATON"", ""MOBILE""]";plus_proche;Une salamandre de feu rampe au sol vers une cible puis bondit vers 2 cibles voisines (trajet physique visible entre chaque saut).;"16 par cible ; 3 cibles ; portée de saut 3,5 m ; −10 % par saut ; délai 2,0 s";Lézard de 10 px en 4 frames de reptation, traînée de braises, bond en arc.;ELEM_KATON;Jamais deux fois la même cible.
JUT_022;Barrière de flammes;CO;KATON;ZONE;"[""E_KATON"", ""PERSISTANT""]";aucune;Élève derrière le joueur (perpendiculairement à sa course) un mur de feu de 5 m qui détruit les petits projectiles ennemis.;"20 à la traversée ; Brûlure +2 ; durée 4 s ; délai 8,0 s ; bloque 6 projectiles";"Rideau vertical de flammes hautes (24 px), base rouge, sommet jaune ; les projectiles bloqués crépitent.";ELEM_KATON;Ne bloque pas les attaques télégraphiées lourdes.
JUT_023;Pluie de braises;CO;KATON;DIFFERE;"[""E_KATON""]";aleatoire_pondere;8 impacts aléatoires dans un rayon de 5 m autour du joueur répartis sur 1,6 s (pondérés vers les ennemis).;"10 par impact ; rayon d'impact 0,8 m ; délai 4,0 s";Points lumineux qui tombent en diagonale, micro-cratères orange.;ELEM_KATON;Jamais deux impacts au même point dans 0,3 s.
JUT_024;Cœur de forge;CO;KATON;PROJECTILE;"[""E_KATON"", ""MARQUE""]";plus_menacant;"Braise qui se fiche dans une cible et chauffe : dégâts croissants 3 s puis explosion ; si la cible meurt, la braise saute sur l'ennemi le plus proche.";"4 → 8 → 12 par s ; explosion 30 (r 1,6 m) ; délai 3,5 s";Point incandescent passant du rouge au blanc, fissures lumineuses sur la cible.;ELEM_KATON;1 saut maximum.
JUT_025;Suiton — Suiryūdan no Jutsu (Dragon d'eau);OA;SUITON;PROJECTILE;"[""E_SUITON"", ""PERCANT""]";plus_dense;Dragon d'eau à trajectoire sinusoïdale (amplitude 1 m) qui perce 3 ennemis et les laisse Trempés.;"22 ; délai 2,2 s ; vitesse 8 m/s ; portée 11 m ; perce 3 ; Trempé 2 s";Corps segmenté de 5 volumes bleus translucides à crête blanche, gerbes à chaque ondulation.;ELEM_SUITON;—
JUT_026;Suiton — Suijinheki (Mur d'eau);OA;SUITON;ONDE;"[""E_SUITON"", ""BOUCLIER""]";aucune;Un mur d'eau circulaire jaillit du joueur jusqu'à 2,5 m : repousse, détruit les projectiles ordinaires et laisse un anneau d'eau au sol.;"12 ; recul 2 m ; détruit jusqu'à 10 projectiles ; délai 7,0 s ; surface EAU 4 s";Anneau vertical d'eau en 3 frames montantes, crête d'écume, retombée en pluie.;ELEM_SUITON;Les projectiles télégraphiés de boss ne sont pas détruits.
JUT_027;Suiton — Suirō no Jutsu (Prison aqueuse);OA;SUITON;ZONE;"[""E_SUITON"", ""CONTROLE""]";plus_menacant;Enferme l'ennemi le plus menaçant (élite en priorité) dans une sphère d'eau : immobile, dégâts continus.;"10 par tick de 0,5 s ; durée 2,5 s ; délai 6,0 s";Sphère bleue à reflets, silhouette de la cible déformée à l'intérieur, bulles montantes.;ELEM_SUITON;"Boss : soumis à la résistance de contrôle ; 1 prison active."
JUT_028;Suiton — Kirigakure no Jutsu (Brume dissimulatrice);OA;SUITON;ZONE;"[""E_SUITON"", ""CONTROLE""]";aucune;"Brume de 4 m autour du joueur : les ennemis dedans sont Aveuglés ; les coups du joueur sur ces cibles gagnent +15 % de chance critique.";"0 dégât ; durée 4 s ; délai 10 s";"Couche de brume en tramage à 2 niveaux, bords diffus en dithering ; le joueur reste net (contour conservé).";ELEM_SUITON;La brume n'occulte jamais les télégraphes ennemis (dessinés au-dessus).
JUT_029;Suiton — Suikōdan no Jutsu (Requin missile);OA;SUITON;PROJECTILE;"[""E_SUITON""]";plus_proche;Requin d'eau à tête chercheuse (virage 180°/s) qui mord deux fois sa cible puis se disperse.;"2 × 14 ; délai 1,6 s ; vitesse 9 m/s ; portée 10 m";Requin de 14 px, nageoire dorsale nette, gueule qui s'ouvre sur 2 frames.;ELEM_SUITON;—
JUT_030;Suiton — Daibakufu no Jutsu (Grande cascade);OA;SUITON;ONDE;"[""E_SUITON"", ""TERRAIN""]";aucune;Immense vague circulaire qui balaie jusqu'à 7 m, repousse fortement et inonde l'anneau parcouru.;"34 ; recul 3 m ; délai 9,0 s ; surface EAU 5 s";Vague haute de 20 px avec écume dessinée en crochets, sol assombri et luisant après passage.;ELEM_SUITON;Recul réduit de 70 % dans les zones alliées persistantes (§B8.4).
JUT_031;Suiton — Teppōdama (Balle d'eau);OA;SUITON;PROJECTILE;"[""E_SUITON"", ""REBOND""]";plus_menacant;Boule d'eau lourde qui ricoche 2 fois sur obstacles ou ennemis et projette sa cible.;"30 ; recul 2,5 m ; délai 2,6 s ; vitesse 10 m/s ; 2 rebonds";Sphère compacte à reflet en croissant, gerbe en éventail à chaque rebond.;ELEM_SUITON;Rebond jamais deux fois sur la même cible d'affilée.
JUT_032;Suiton — Bakusui Shōha (Onde de choc explosive d'eau);OA;SUITON;ZONE;"[""E_SUITON"", ""TERRAIN"", ""PERSISTANT""]";aucune;"Inonde un disque de 6 m autour du joueur ; les ennemis y sont ralentis de 20 % et Trempés en continu.";"3 par tick de 0,5 s ; durée 5 s ; délai 12 s ; surface EAU";Nappe d'eau en 3 tons avec vaguelettes animées (4 frames en boucle), reflets du décor.;ELEM_SUITON;"1 inondation active ; plafond de surface §B8.3."
JUT_033;Suiton — Goshokuzame (Cinq requins voraces);OA;SUITON;ORBITE;"[""E_SUITON""]";aucune;5 requins tournent à grande distance (3,5 m) et plongent vers un ennemi proche de leur orbite avant de reprendre leur place.;"12 par morsure ; rotation 1 tour/3 s ; durée 6 s ; délai 9 s";Ailerons émergeant d'un sillage d'écume, plongée en arc de 4 frames.;ELEM_SUITON;1 plongée par requin par seconde.
JUT_034;Suiton — Suidanha (Onde tranchante d'eau);OA;SUITON;RAYON;"[""E_SUITON"", ""PERCANT""]";plus_menacant;Jet d'eau à très haute pression, instantané, qui traverse tout sur sa longueur.;"38 ; longueur 12 m ; largeur 0,25 m ; délai 3,4 s";Ligne blanche de 2 px bordée de bleu, fine brume à l'arrivée, sol entaillé 0,5 s.;ELEM_SUITON;Traverse les obstacles bas, pas les hauts.
JUT_035;Suiton — Mizurappa (Vague déchaînée);AV;SUITON;CONE;"[""E_SUITON""]";plus_dense;Jet d'eau conique qui repousse et Trempe tous les ennemis touchés.;"16 ; angle 45° ; portée 5 m ; recul 2 m ; délai 2,4 s";Cône d'eau en gerbes parallèles, gouttes projetées en bordure.;ELEM_SUITON;—
JUT_036;Bulles dérivantes;CO;SUITON;ZONE;"[""E_SUITON"", ""CONTROLE""]";aleatoire_pondere;"Libère 6 bulles qui dérivent lentement ; un ennemi touché est enfermé 1 s puis la bulle éclate.";"Éclatement 14 ; emprisonnement 1 s ; durée de vie 6 s ; délai 5 s";Cercles irisés à reflet mobile, éclatement en 4 gouttes.;ELEM_SUITON;"Max 12 bulles ; une bulle = 1 cible."
JUT_037;Fouet d'eau;CO;SUITON;CONTACT;"[""E_SUITON""]";plus_proche;"Coup de fouet en arc de 140° à longue allonge (3,5 m) devant le joueur ; la pointe inflige le double.";"12 (pointe 24) ; délai 1,2 s";"Ruban d'eau qui se déroule en 3 frames et claque ; éclaboussure en pointe.";ELEM_SUITON;Pointe : derniers 0,6 m de l'arc.
JUT_038;Geyser;CO;SUITON;DIFFERE;"[""E_SUITON"", ""TERRAIN""]";plus_dense;Le sol se gonfle sous le groupe le plus dense puis une colonne d'eau jaillit, Trempe et soulève.;"28 ; rayon 1,5 m ; délai d'impact 0,8 s ; délai 3,5 s ; surface EAU 3 s";Fissures humides au sol, colonne blanche de 40 px, retombée en gouttes lourdes.;ELEM_SUITON;—
JUT_039;Averse;CO;SUITON;ZONE;"[""E_SUITON"", ""MOBILE""]";aucune;Pluie localisée de 6 m centrée sur le joueur : chaque seconde, les ennemis dedans sont Trempés et subissent de légers dégâts.;"3 par s ; Trempé ; durée 6 s ; délai 11 s";Traits de pluie obliques (1 px) en 2 couches de parallaxe, cercles d'impact au sol.;ELEM_SUITON;Technique de préparation : faible dégât intentionnel.
JUT_040;Tourbillon;CO;SUITON;ZONE;"[""E_SUITON"", ""ATTRACTION"", ""PERSISTANT""]";plus_dense;Maelström au sol qui attire les ennemis ordinaires vers son centre et les blesse.;"5 par tick de 0,5 s ; attraction 1,2 m/s ; rayon 2,5 m ; durée 4 s ; délai 7 s";Spirale d'eau en 6 frames de rotation, écume au centre.;ELEM_SUITON;"Max 2 tourbillons ; boss non attirés."
JUT_041;Lame de marée;CO;SUITON;PROJECTILE;"[""E_SUITON"", ""PERCANT""]";direction;Croissant d'eau lancé vers l'avant qui revient au joueur (boomerang) en touchant à l'aller et au retour.;"15 par passage ; portée 6 m ; délai 2,0 s ; perce illimité";Croissant bleu à bord blanc, rotation 4 frames, gouttes en traîne.;ELEM_SUITON;1 touche par cible par passage.
JUT_042;Sphère gardienne;CO;SUITON;ORBITE;"[""E_SUITON"", ""BOUCLIER""]";aucune;Une grosse sphère d'eau orbite lentement à 2,5 m et absorbe les projectiles ennemis qu'elle croise.;"10 au contact ; absorbe 1 projectile/0,5 s ; permanente";"Sphère de 16 px avec reflet et caustiques ; un projectile absorbé y tourne 0,3 s puis s'éteint.";ELEM_SUITON;Quantité : +1 sphère (max 3).
JUT_043;Sensatsu Suishō (Mille aiguilles d'eau);OA;SUITON;DIFFERE;"[""E_SUITON""]";plus_menacant;"Des aiguilles d'eau se forment en cercle autour d'une cible puis convergent ; bonus ×1,5 si la cible est sur une surface EAU.";"12 aiguilles × 3 ; rayon de formation 2 m ; délai d'impact 0,5 s ; délai 2,8 s";Aiguilles blanches de 3 px en couronne, convergence en 3 frames, éclat en étoile.;ELEM_SUITON;Aiguilles hors cible principale : touchent les ennemis traversés à 50 %.
JUT_044;Ricochet de gouttes;CO;SUITON;PROJECTILE;"[""E_SUITON"", ""REBOND""]";plus_proche;Petite goutte qui rebondit 4 fois d'ennemi en ennemi en accélérant.;"9 (+2 par rebond) ; délai 1,0 s ; vitesse 10 → 16 m/s";Goutte en larme qui s'aplatit à chaque rebond (squash 2 frames).;ELEM_SUITON;Rebond sur cible déjà touchée interdit.
JUT_045;Flaque piégée;CO;SUITON;PIEGE;"[""E_SUITON"", ""CONTROLE"", ""TERRAIN""]";chemin;"Pose des flaques sur le trajet des ennemis ; la première victime est prise dans une gerbe qui l'Entrave 1 s et Trempe ses voisins.";"18 ; Entravé 1 s ; rayon de gerbe 1,5 m ; max 3 flaques ; délai 3,0 s";Flaque plate à reflet vif, gerbe verticale en 3 frames.;ELEM_SUITON;—
JUT_046;Suiton — Daikōdan no Jutsu (Grand requin missile);OA;SUITON;PROJECTILE;"[""E_SUITON"", ""PERCANT""]";plus_dense;Requin géant lent qui grossit de 10 % à chaque ennemi traversé (max 8) puis explose en vague.;"26 ; explosion 20 × nombre de grossissements /4 ; vitesse 4 m/s ; délai 8 s";"Requin de 32 px dont la gueule s'ouvre en avançant ; explosion en anneau d'écume.";ELEM_SUITON+CTR_REQUIN;1 en vol.
JUT_047;Torrent serpentin;CO;SUITON;CHAINE;"[""E_SUITON""]";plus_proche;"Serpent d'eau qui saute de cible en cible ; portée de saut doublée vers les ennemis Trempés.";"14 ; 4 sauts ; portée 3 m (6 m vers Trempé) ; −8 %/saut ; délai 2,0 s";Filet d'eau serpentin tracé entre cibles, tête plus claire, retombée en gouttes.;ELEM_SUITON;—
JUT_048;Voile de pluie;CO;SUITON;ONDE;"[""E_SUITON"", ""BOUCLIER""]";aucune;"Toutes les 10 s, un film d'eau donne un bouclier ; quand il se rompt, il éclate en onde qui Trempe à 3 m.";"Bouclier 12 ; onde 10 ; rayon 3 m ; délai 10 s";Contour aqueux ondulant autour du personnage (1 px, 2 tons), éclatement en anneau.;ELEM_SUITON;Bouclier non cumulable avec lui-même.
JUT_049;Chidori (Mille oiseaux);OA;RAITON;CONTACT;"[""E_RAITON"", ""PERCANT""]";plus_menacant;"Charge 0,4 s dans la main, puis une image de frappe fonce 4 m vers la cible et la transperce ; décharge en arc de 1,2 m au point d'impact. Le joueur ne bouge pas.";"Frappe 48 ; décharge 14 ; délai 2,8 s ; Électrisé";"Boule de filaments blancs-bleus dans la main avec 3 branches animées ; image de frappe bleutée à 60 % d'opacité ; cri d'oiseaux synthétique.";ELEM_RAITON+DOJ_SHARINGAN;L'image de frappe n'est pas une unité : elle n'hérite de rien et disparaît à l'impact.
JUT_050;Raikiri (Tranche-foudre);OA;RAITON;RAYON;"[""E_RAITON"", ""PERCANT""]";plus_menacant;"Trait instantané de 4 m à travers la cible la plus menaçante ; le trajet reste électrisé 0,5 s. Chance critique +20 %.";"60 ; sillage 6 ; délai 3,5 s ; crit +20 %";"Ligne brisée anguleuse, 1 frame blanche puis 2 frames bleues ; sillage crépitant.";ELEM_RAITON+CHR_008|ELEM_RAITON+CHR_009|ELEM_RAITON+CHR_010;Réservé aux entrées de Kakashi.
JUT_051;Chidori Nagashi (Courant des mille oiseaux);OA;RAITON;ONDE;"[""E_RAITON"", ""CONTROLE""]";aucune;Toutes les 1,2 s, une décharge parcourt le corps et s'échappe en anneau de 2 m qui Électrise.;"10 ; rayon 2 m ; délai 1,2 s ; Électrisé";Filaments courts qui s'échappent du contour du personnage sur 3 frames, sans masquer la silhouette.;ELEM_RAITON+CLAN_UCHIHA;—
JUT_052;Chidori Senbon (Aiguilles des mille oiseaux);OA;RAITON;SALVE;"[""E_RAITON""]";plus_proche;"6 aiguilles de foudre tirées en rafale serrée ; la 6e Électrise systématiquement.";"6 par aiguille ; intervalle 0,05 s ; délai 1,3 s ; vitesse 18 m/s";Traits de 4 px blancs à bord bleu, micro-étincelle à l'impact.;ELEM_RAITON+CLAN_UCHIHA;—
JUT_053;Chidori Eisō (Lance des mille oiseaux);OA;RAITON;RAYON;"[""E_RAITON"", ""PERCANT""]";plus_dense;Lame de foudre de 8 m qui s'étend puis pivote de 60° en balayage.;"20 par tick de 0,2 s ; durée 0,6 s ; largeur 0,35 m ; délai 3,0 s";Lame fine segmentée en zigzags, tête plus brillante, étincelles le long du balayage.;ELEM_RAITON+CLAN_UCHIHA;Obstacles hauts arrêtent la lame.
JUT_054;Kirin;OA;RAITON;DIFFERE;"[""E_RAITON"", ""EXPLOSIF""]";plus_dense;Construit pendant 6 s un nuage d'orage visible au-dessus de la zone la plus dense, puis y fait tomber une foudre en forme de bête.;"120 ; rayon 3,5 m ; construction 6 s ; délai 14 s";"Nuage sombre à contour clair qui grossit en 4 paliers ; bête de foudre de 64 px en 3 frames, onde au sol.";ELEM_RAITON+ELEM_KATON+CLAN_UCHIHA;"Pas de micro-pause globale ; micro-pause locale de 50 ms sur les cibles touchées."
JUT_055;Raiton — Raijū Tsuiga (Crocs du fauve de foudre);OA;RAITON;PROJECTILE;"[""E_RAITON""]";plus_proche;"Un chien de foudre court au sol vers une cible ; après une élimination, il rebondit vers une nouvelle cible (3 éliminations max).";"28 ; vitesse 11 m/s ; délai 2,4 s";Canidé électrique de 12 px à 4 frames de course, traînée de filaments.;ELEM_RAITON+CTR_CHIEN;Durée de vie 3 s.
JUT_056;Raiton — Gian (Fausse obscurité);OA;RAITON;RAYON;"[""E_RAITON"", ""PERCANT""]";plus_dense;Télégraphe allié 0,5 s puis rayon épais de 14 m qui traverse tout.;"44 ; largeur 0,6 m ; délai 4,5 s";Rayon en lance ondulée à cœur blanc, deux lignes d'éclairs parasites parallèles.;ELEM_RAITON;—
JUT_057;Raiton — Kuropansā (Panthère noire);OA;RAITON;PROJECTILE;"[""E_RAITON"", ""CONTROLE""]";plus_menacant;Panthère de foudre noire qui bondit sur une cible, la cloue 0,8 s puis rebondit une fois.;"34 ; Étourdi 0,8 s ; 1 rebond ; délai 4,0 s";"Silhouette noire à contour jaune-blanc épais (2 px) pour rester visible sur fond sombre ; éclairs internes violets.";ELEM_RAITON;Étourdissement soumis à la résistance de contrôle.
JUT_058;Raiton — Shichū Shibari (Prison des quatre piliers);AV;RAITON;PIEGE;"[""E_RAITON"", ""CONTROLE""]";plus_dense;"Quatre piliers jaillissent en carré de 3 m autour d'un groupe ; des arcs les relient 2,5 s : les ennemis dedans ne peuvent pas sortir.";"8 par tick de 0,5 s ; durée 2,5 s ; délai 9 s";Piliers de pierre à glyphes, arcs horizontaux animés entre eux.;ELEM_RAITON;Élites : ralenties de 50 % au lieu d'être bloquées.
JUT_059;Arc en chaîne;CO;RAITON;CHAINE;"[""E_RAITON""]";plus_proche;Éclair qui saute instantanément de cible en cible.;"18 ; 5 sauts ; portée 3,5 m ; −12 %/saut ; délai 1,5 s";Tracé construit en 2 frames (tête puis ramifications), disparition en 3 frames.;ELEM_RAITON;Jamais deux fois la même cible.
JUT_060;Orbes crépitants;CO;RAITON;ORBITE;"[""E_RAITON"", ""CONTROLE""]";aucune;2 orbes tournent vite à 1,5 m et Électrisent au contact.;"8 ; rotation 1 tour/1 s ; durée 4 s ; délai 5 s";Sphères de 6 px à filaments tournoyants, trace en arc de 3 frames.;ELEM_RAITON;Intervalle par cible 0,5 s par orbe.
JUT_061;Paratonnerre;CO;RAITON;PIEGE;"[""E_RAITON""]";chemin;"Plante une tige métallique ; toutes les 1 s elle foudroie l'ennemi le plus proche à 4 m (6 frappes).";"16 par frappe ; 6 frappes ; délai 5 s ; max 2 tiges";Tige noire de 20 px à anneau lumineux, éclair vertical puis horizontal.;ELEM_RAITON;—
JUT_062;Clou de tonnerre;CO;RAITON;DIFFERE;"[""E_RAITON"", ""MARQUE""]";plus_menacant;"Marque la cible d'un sigle ; 1,5 s plus tard la foudre tombe sur elle puis saute une fois.";"40 ; saut 20 ; délai 3,0 s ; Marqué";Sigle en losange au-dessus de la cible, éclair vertical à tête épaisse.;ELEM_RAITON;—
JUT_063;Décharge statique;CO;RAITON;ONDE;"[""E_RAITON""]";aucune;Le déplacement accumule de l'électricité : tous les 10 m parcourus, une onde de 3 m se libère.;"30 ; rayon 3 m ; seuil 10 m (Cadence réduit le seuil)";"Étincelles aux pieds qui s'intensifient en 4 paliers ; anneau crépitant.";ELEM_RAITON;Nul à l'arrêt : récompense la mobilité.
JUT_064;Filet électrique;CO;RAITON;ZONE;"[""E_RAITON"", ""CONTROLE"", ""PERSISTANT""]";plus_dense;Jette un filet de 3 × 3 m qui ralentit de 30 % et Électrise chaque seconde.;"6 par s ; durée 3 s ; délai 6 s";Maillage de lignes fines au sol, nœuds lumineux qui clignotent en alternance.;ELEM_RAITON;Max 2 filets.
JUT_065;Traits chercheurs;CO;RAITON;SALVE;"[""E_RAITON""]";plus_proche;8 traits de foudre courbes qui cherchent chacun une cible différente.;"10 par trait ; délai 2,2 s ; vitesse 14 m/s ; virage 240°/s";Traits lumineux sinueux à tête ronde, traînée de 6 px.;ELEM_RAITON;Répartition : max 2 traits par cible.
